Alarm timestamp,Alarm type,Alarm Point number,Alarm name,Monitor number,Alarm direction,Mode,Acknowledge by,Tag,Full comment,Assessment timestamp
12/05/2025 10:59:00.093 AM,Intrusion,151: FDB 1 - IPD 178,Sensor G  Alarm  Sector 47,8,1,Armed,Operator Station 7,Nuisance,Verified  //Christopher Henderson//,12/05/2025 10:59:14.564 AM
12/05/2025 10:59:28.036 AM,Tamper,152: FDB 5 - IPD 292,Sensor J  Tamper  Sector 56,13,1,Secured,Operator Station 3,Valid,Service activity  //Christopher Henderson//,12/05/2025 10:59:33.448 AM
12/05/2025 10:59:36.592 AM,Tamper,153: FDB 3 - IPD 161,Sensor D  Tamper  Sector 56,2,1,Armed,Operator Station 3,Valid,Maintenance  //Christopher Henderson//,12/05/2025 10:59:46.815 AM
12/05/2025 11:00:12.142 AM,Sensor_Fault,154: FDB 2 - IPD 367,Sensor N  Fault  Sector 19,9,3,Armed,Operator Station 6,Valid,Service required  //Jeffrey Prince//,12/05/2025 11:00:16.263 AM
12/05/2025 11:00:45.769 AM,Sensor_Fault,155: FDB 2 - IPD 367,Sensor N  Fault  Sector 19,9,3,Armed,Operator Station 6,Valid,Sensor fault  //Jeffrey Prince//,12/05/2025 11:00:51.172 AM
12/05/2025 11:01:38.602 AM,Sensor_Fault,156: FDB 2 - IPD 367,Sensor N  Fault  Sector 19,9,1,Armed,Operator Station 6,Valid,Hardware issue  //Jeffrey Prince//,12/05/2025 11:01:47.614 AM
12/05/2025 11:02:30.871 AM,Sensor_Fault,157: FDB 2 - IPD 367,Sensor N  Fault  Sector 19,9,1,Armed,Operator Station 6,Valid,Service required  //Jeffrey Prince//,12/05/2025 11:02:32.973 AM
12/05/2025 11:04:59.784 AM,Intrusion,158: FDB 4 - IPD 329,Sensor U  Alarm  Sector 41,1,1,Armed,Operator Station 6,Valid,Possible breach  //Susan Stevenson//,12/05/2025 11:05:11.490 AM
12/05/2025 11:05:04.909 AM,Intrusion,159: FDB 2 - IPD 256,Sensor M  Alarm  Sector 42,12,3,Armed,Operator Station 6,Valid,Camera confirmed  //Susan Stevenson//,12/05/2025 11:05:15.262 AM
12/05/2025 11:06:41.274 AM,Intrusion,160: FDB 4 - IPD 241,Sensor G  Alarm  Sector 50,17,3,Armed,Operator Station 6,Valid,Possible breach  //Mark Clay//,12/05/2025 11:06:47.042 AM
12/05/2025 11:06:48.900 AM,Intrusion,161: FDB 2 - IPD 251,Sensor D  Alarm  Sector 49,8,1,Armed,Operator Station 6,Valid,Verified  //Mark Clay//,12/05/2025 11:06:59.773 AM
12/05/2025 11:06:54.887 AM,Intrusion,162: FDB 5 - IPD 164,Sensor A  Alarm  Sector 48,9,1,Armed,Operator Station 6,Valid,Camera confirmed  //Mark Clay//,12/05/2025 11:07:06.924 AM
12/05/2025 11:09:10.840 AM,Intrusion,163: FDB 4 - IPD 137,Sensor M  Alarm  Sector 31,2,1,Armed,Operator Station 2,Valid,Dispatch  //Tyler Douglas//,12/05/2025 11:09:16.230 AM
12/05/2025 11:09:20.039 AM,Intrusion,164: FDB 3 - IPD 143,Sensor S  Alarm  Sector 30,8,1,Armed,Operator Station 2,Valid,Checking  //Tyler Douglas//,12/05/2025 11:09:32.796 AM
12/05/2025 11:09:33.241 AM,Intrusion,165: FDB 5 - IPD 215,Sensor N  Alarm  Sector 29,17,3,Armed,Operator Station 2,Valid,Possible breach  //Tyler Douglas//,12/05/2025 11:09:38.378 AM
12/05/2025 11:10:31.695 AM,Intrusion,166: FDB 2 - IPD 247,Sensor B  Alarm  Sector 41,10,3,Armed,Operator Station 2,Nuisance,Heavy wind  //Tyler Douglas//,12/05/2025 11:10:37.827 AM
12/05/2025 11:10:34.777 AM,Intrusion,167: FDB 3 - IPD 201,Sensor H  Alarm  Sector 42,14,1,Armed,Operator Station 2,Nuisance,Heavy wind  //Tyler Douglas//,12/05/2025 11:10:42.433 AM
12/05/2025 11:10:37.902 AM,Intrusion,168: FDB 2 - IPD 236,Sensor U  Alarm  Sector 43,5,1,Armed,Operator Station 2,Nuisance,Rain  //Tyler Douglas//,12/05/2025 11:10:42.865 AM
12/05/2025 11:11:11.004 AM,Intrusion,169: FDB 5 - IPD 110,Sensor H  Alarm  Sector 19,9,3,Armed,Operator Station 4,Valid,Possible breach  //Ashley Patel//,12/05/2025 11:11:23.891 AM
12/05/2025 11:11:16.004 AM,Intrusion,170: FDB 2 - IPD 340,Sensor Y  Alarm  Sector 18,17,3,Armed,Operator Station 4,Valid,Camera confirmed  //Ashley Patel//,12/05/2025 11:11:21.282 AM
12/05/2025 11:13:03.979 AM,Tamper,171: FDB 4 - IPD 247,Sensor N  Tamper  Sector 29,13,1,Armed,Operator Station 6,Valid,Verified  //Christopher Henderson//,12/05/2025 11:13:13.044 AM
12/05/2025 11:13:14.381 AM,Intrusion,172: FDB 1 - IPD 332,Sensor R  Alarm  Sector 30,3,1,Armed,Operator Station 6,Valid,Unauthorized access  //Christopher Henderson//,12/05/2025 11:13:27.136 AM
12/05/2025 11:13:24.212 AM,Intrusion,173: FDB 5 - IPD 100,Sensor M  Alarm  Sector 29,15,3,Armed,Operator Station 6,Valid,Dispatch  //Christopher Henderson//,12/05/2025 11:13:31.062 AM
12/05/2025 11:15:57.885 AM,Sensor_Fault,174: FDB 5 - IPD 222,Sensor A  Fault  Sector 18,6,1,Armed,Operator Station 4,Valid,Service required  //Jeffrey Prince//,12/05/2025 11:16:02.322 AM
12/05/2025 11:16:11.258 AM,Sensor_Fault,175: FDB 5 - IPD 222,Sensor A  Fault  Sector 18,6,1,Armed,Operator Station 4,Valid,Hardware issue  //Jeffrey Prince//,12/05/2025 11:16:17.094 AM
12/05/2025 11:17:09.723 AM,Sensor_Fault,176: FDB 5 - IPD 222,Sensor A  Fault  Sector 18,6,1,Armed,Operator Station 4,Valid,Hardware issue  //Jeffrey Prince//,12/05/2025 11:17:16.806 AM
12/05/2025 11:20:21.701 AM,Sensor_Fault,177: FDB 3 - IPD 252,Sensor A  Fault  Sector 37,16,1,Secured,Operator Station 3,Valid,Technician onsite  //Susan Stevenson//,12/05/2025 11:20:32.261 AM
12/05/2025 11:20:27.659 AM,Sensor_Fault,178: FDB 5 - IPD 293,Sensor R  Fault  Sector 37,15,1,Armed,Operator Station 3,Valid,Dispatch  //Susan Stevenson//,12/05/2025 11:20:32.841 AM
12/05/2025 11:22:52.300 AM,Sensor_Fault,179: FDB 4 - IPD 118,Sensor E  Fault  Sector 58,5,3,Secured,Operator Station 4,Valid,Service required  //Susan Stevenson//,12/05/2025 11:23:02.817 AM
12/05/2025 11:23:46.617 AM,Sensor_Fault,180: FDB 4 - IPD 118,Sensor E  Fault  Sector 58,5,3,Secured,Operator Station 4,Valid,Service required  //Susan Stevenson//,12/05/2025 11:23:57.210 AM
12/05/2025 11:24:21.497 AM,Sensor_Fault,181: FDB 4 - IPD 118,Sensor E  Fault  Sector 58,5,3,Secured,Operator Station 4,Valid,Dispatch  //Susan Stevenson//,12/05/2025 11:24:26.664 AM
12/05/2025 11:25:08.636 AM,Sensor_Fault,182: FDB 4 - IPD 118,Sensor E  Fault  Sector 58,5,3,Secured,Operator Station 4,Valid,Hardware issue  //Susan Stevenson//,12/05/2025 11:25:18.230 AM
12/05/2025 11:27:14.712 AM,Intrusion,183: FDB 1 - IPD 151,Sensor N  Alarm  Sector 19,15,1,Armed,Operator Station 1,Valid,Possible breach  //Mark Clay//,12/05/2025 11:27:24.481 AM
12/05/2025 11:27:25.883 AM,Intrusion,184: FDB 1 - IPD 266,Sensor A  Alarm  Sector 18,2,1,Armed,Operator Station 1,Valid,Camera confirmed  //Mark Clay//,12/05/2025 11:27:32.404 AM
12/05/2025 11:28:20.018 AM,Intrusion,185: FDB 3 - IPD 335,Sensor O  Alarm  Sector 30,9,1,Armed,Operator Station 4,Nuisance,Weather  //Amanda Brooks//,12/05/2025 11:28:24.172 AM
12/05/2025 11:28:25.256 AM,Intrusion,186: FDB 3 - IPD 379,Sensor O  Alarm  Sector 29,6,1,Armed,Operator Station 4,Nuisance,Weather  //Amanda Brooks//,12/05/2025 11:28:31.452 AM
12/05/2025 11:28:27.643 AM,Intrusion,187: FDB 5 - IPD 253,Sensor L  Alarm  Sector 28,14,1,Armed,Operator Station 4,Nuisance,Storm  //Amanda Brooks//,12/05/2025 11:28:34.623 AM
12/05/2025 11:30:27.075 AM,Intrusion,188: FDB 2 - IPD 228,Sensor H  Alarm  Sector 41,5,1,Armed,Operator Station 7,Valid,Possible breach  //Tyler Douglas//,12/05/2025 11:30:38.627 AM
12/05/2025 11:30:40.917 AM,Intrusion,189: FDB 1 - IPD 258,Sensor U  Alarm  Sector 40,15,1,Armed,Operator Station 7,Valid,Camera confirmed  //Tyler Douglas//,12/05/2025 11:30:52.349 AM
12/05/2025 11:30:49.800 AM,Intrusion,190: FDB 2 - IPD 146,Sensor X  Alarm  Sector 41,10,1,Armed,Operator Station 7,Valid,Police notified  //Tyler Douglas//,12/05/2025 11:31:05.427 AM
12/05/2025 11:31:55.186 AM,Tamper,191: FDB 1 - IPD 172,Sensor O  Tamper  Sector 37,8,1,Armed,Operator Station 4,Valid,Service activity  //Allison Perez//,12/05/2025 11:32:01.132 AM
12/05/2025 11:33:26.511 AM,Intrusion,192: FDB 2 - IPD 341,Sensor V  Alarm  Sector 40,1,3,Armed,Operator Station 3,Valid,Possible breach  //Allison Perez//,12/05/2025 11:33:32.468 AM
12/05/2025 11:33:39.314 AM,Intrusion,193: FDB 3 - IPD 213,Sensor R  Alarm  Sector 39,3,3,Armed,Operator Station 3,Valid,Camera confirmed  //Allison Perez//,12/05/2025 11:33:47.576 AM
12/05/2025 11:36:00.866 AM,Intrusion,194: FDB 2 - IPD 312,Sensor S  Alarm  Sector 40,4,3,Armed,Operator Station 5,Valid,Possible breach  //Shawn Schmidt//,12/05/2025 11:36:08.728 AM
12/05/2025 11:36:12.898 AM,Intrusion,195: FDB 1 - IPD 289,Sensor I  Alarm  Sector 41,7,3,Armed,Operator Station 5,Valid,Camera confirmed  //Shawn Schmidt//,12/05/2025 11:36:30.184 AM
12/05/2025 11:36:20.579 AM,Intrusion,196: FDB 3 - IPD 150,Sensor H  Alarm  Sector 42,12,3,Armed,Operator Station 5,Valid,Police notified  //Shawn Schmidt//,12/05/2025 11:36:25.862 AM
12/05/2025 11:37:17.755 AM,Intrusion,197: FDB 5 - IPD 205,Sensor Z  Alarm  Sector 37,3,3,Armed,Operator Station 1,Nuisance,Wildlife  //Tyler Douglas//,12/05/2025 11:37:24.546 AM
12/05/2025 11:37:19.707 AM,Intrusion,198: FDB 2 - IPD 268,Sensor G  Alarm  Sector 36,5,3,Armed,Operator Station 1,Nuisance,Wildlife  //Tyler Douglas//,12/05/2025 11:37:26.906 AM
12/05/2025 11:38:09.025 AM,Tamper,199: FDB 3 - IPD 126,Sensor F  Tamper  Sector 40,5,1,Armed,Operator Station 7,Valid,Verified  //Mark Clay//,12/05/2025 11:38:20.079 AM
12/05/2025 11:38:19.726 AM,Intrusion,200: FDB 1 - IPD 132,Sensor Q  Alarm  Sector 39,16,3,Armed,Operator Station 7,Valid,Unauthorized access  //Mark Clay//,12/05/2025 11:38:24.333 AM
12/05/2025 11:42:09.054 AM,Tamper,201: FDB 4 - IPD 305,Sensor B  Tamper  Sector 42,14,1,Secured,Operator Station 5,Valid,Dispatch  //Allison Perez//,12/05/2025 11:42:14.863 AM
12/05/2025 11:42:17.988 AM,Tamper,202: FDB 3 - IPD 175,Sensor C  Tamper  Sector 42,3,1,Secured,Operator Station 5,Valid,Dispatch  //Allison Perez//,12/05/2025 11:42:22.937 AM
12/05/2025 11:44:46.201 AM,Intrusion,203: FDB 2 - IPD 311,Sensor O  Alarm  Sector 58,11,3,Armed,Operator Station 7,Valid,Checking  //Christopher Henderson//,12/05/2025 11:45:01.846 AM
12/05/2025 11:44:59.064 AM,Intrusion,204: FDB 1 - IPD 260,Sensor X  Alarm  Sector 59,14,3,Armed,Operator Station 7,Valid,Verified  //Christopher Henderson//,12/05/2025 11:45:04.416 AM
12/05/2025 11:48:33.358 AM,Sensor_Fault,205: FDB 1 - IPD 310,Sensor V  Fault  Sector 56,12,1,Armed,Operator Station 5,Valid,Service activity  //Tyler Douglas//,12/05/2025 11:48:38.874 AM
12/05/2025 11:51:32.283 AM,Intrusion,206: FDB 3 - IPD 393,Sensor D  Alarm  Sector 48,8,3,Armed,Operator Station 6,Valid,Possible breach  //Jeffrey Prince//,12/05/2025 11:51:36.368 AM
12/05/2025 11:51:47.170 AM,Intrusion,207: FDB 5 - IPD 385,Sensor Y  Alarm  Sector 49,1,3,Armed,Operator Station 6,Valid,Verified  //Jeffrey Prince//,12/05/2025 11:51:59.098 AM
12/05/2025 11:51:59.982 AM,Intrusion,208: FDB 3 - IPD 114,Sensor W  Alarm  Sector 50,6,1,Armed,Operator Station 6,Valid,Camera confirmed  //Jeffrey Prince//,12/05/2025 11:52:05.969 AM
12/05/2025 11:54:48.044 AM,Intrusion,209: FDB 2 - IPD 289,Sensor K  Alarm  Sector 18,10,1,Armed,Operator Station 6,Valid,Possible breach  //Brandon Cole//,12/05/2025 11:54:55.868 AM
12/05/2025 11:54:59.420 AM,Intrusion,210: FDB 5 - IPD 143,Sensor S  Alarm  Sector 19,2,1,Armed,Operator Station 6,Valid,Camera confirmed  //Brandon Cole//,12/05/2025 11:55:05.014 AM
12/05/2025 11:55:04.547 AM,Intrusion,211: FDB 1 - IPD 141,Sensor T  Alarm  Sector 20,9,3,Armed,Operator Station 6,Valid,Police notified  //Brandon Cole//,12/05/2025 11:55:12.512 AM
12/05/2025 11:58:16.227 AM,Intrusion,212: FDB 1 - IPD 103,Sensor T  Alarm  Sector 5,7,1,Armed,Operator Station 6,Nuisance,Weather  //Allison Perez//,12/05/2025 11:58:22.449 AM
12/05/2025 11:58:22.313 AM,Intrusion,213: FDB 2 - IPD 230,Sensor Y  Alarm  Sector 6,10,1,Armed,Operator Station 6,Nuisance,Wind  //Allison Perez//,12/05/2025 11:58:29.314 AM
12/05/2025 12:02:22.257 PM,Intrusion,214: FDB 3 - IPD 394,Sensor C  Alarm  Sector 40,14,3,Armed,Operator Station 7,Valid,Possible breach  //Tyler Douglas//,12/05/2025 12:02:34.911 PM
12/05/2025 12:02:30.180 PM,Intrusion,215: FDB 4 - IPD 248,Sensor U  Alarm  Sector 41,4,3,Armed,Operator Station 7,Valid,Camera confirmed  //Tyler Douglas//,12/05/2025 12:02:47.057 PM
12/05/2025 12:03:02.152 PM,Sensor_Fault,216: FDB 1 - IPD 302,Sensor Q  Fault  Sector 56,10,1,Armed,Operator Station 2,Valid,Service activity  //Susan Stevenson//,12/05/2025 12:03:12.342 PM
12/05/2025 12:03:10.648 PM,Tamper,217: FDB 1 - IPD 371,Sensor Q  Tamper  Sector 56,17,1,Secured,Operator Station 2,Valid,Service activity  //Susan Stevenson//,12/05/2025 12:03:15.011 PM
12/05/2025 12:03:58.062 PM,Intrusion,218: FDB 5 - IPD 396,Sensor Y  Alarm  Sector 5,15,3,Armed,Operator Station 5,Valid,Possible breach  //Shawn Schmidt//,12/05/2025 12:04:02.859 PM
12/05/2025 12:04:10.275 PM,Intrusion,219: FDB 3 - IPD 261,Sensor T  Alarm  Sector 6,5,3,Armed,Operator Station 5,Valid,Verified  //Shawn Schmidt//,12/05/2025 12:04:15.349 PM
12/05/2025 12:04:15.124 PM,Intrusion,220: FDB 3 - IPD 240,Sensor O  Alarm  Sector 7,2,1,Armed,Operator Station 5,Valid,Camera confirmed  //Shawn Schmidt//,12/05/2025 12:04:31.098 PM
12/05/2025 12:07:07.268 PM,Intrusion,221: FDB 5 - IPD 343,Sensor K  Alarm  Sector 50,17,1,Armed,Operator Station 4,Nuisance,Heavy wind  //Amanda Brooks//,12/05/2025 12:07:13.338 PM
12/05/2025 12:07:13.625 PM,Intrusion,222: FDB 1 - IPD 275,Sensor O  Alarm  Sector 49,3,3,Armed,Operator Station 4,Nuisance,Storm  //Amanda Brooks//,12/05/2025 12:07:19.968 PM
12/05/2025 12:07:18.973 PM,Intrusion,223: FDB 2 - IPD 324,Sensor B  Alarm  Sector 50,15,3,Armed,Operator Station 4,Nuisance,Rain  //Amanda Brooks//,12/05/2025 12:07:26.411 PM
